GRE,TOEFL,CGPA / %,WORK_EX,IELTS,SOP,LOR,PERCENTAGE
321,113,7,12,7.5,3,3,65
319,114,0.6,30,8,3,3,60
334,115,6.99,60,8,3,3,64.9
328,117,8,0,8.5,4,4,75
301,85,0.62,37,6,3,3,62
303,88,0.58,44,6,2,2,58
307,88,7,0,6,3,3,65
303,88,0.59,1,6,2,2,59
301,89,7.24,3,6,3,3,67.4
305,90,8.09,24,6,4,4,75.9
304,90,6,30,6,2,2,55
310,91,0.64,6,6,3,3,64
300,93,0.5879,26,6.5,2,2,58.79
295,93,0.54,41,6.5,2,2,54
301,93,0.62,0,6.5,3,3,62
299,93,0.66,48,6.5,3,3,66
306,94,0.729,12,6.5,3,3,72.9
297,94,0.698,30,6.5,3,3,69.8
305,95,0.645,0,6.5,3,3,64.5
305,95,0.67,0,6.5,3,3,67
316,95,7.8,37,6.5,3,3,73
305,95,0.58,0,6.5,2,2,58
305,95,0.67,0,6.5,3,3,67
305,95,8.7,0,6.5,4,4,82
304,95,8.5,24,6.5,4,4,80
314,95,5.8,0,6.5,2,2,53
285,95,7.3,36,6.5,3,3,68
305,95,0.6973,0,6.5,3,3,69.73
305,95,8.8,44,6.5,4,4,83
305,95,7.4,18,6.5,3,3,69
301,95,7,0,6.5,3,3,65
303,95,6.99,0,6.5,3,3,64.9
302,95,0.755,0,6.5,4,4,75.5
290,97,0.55,30,6.5,2,2,55
295,97,6,0,6.5,2,2,55
297,98,6.08,0,6.5,2,2,55.8
295,98,0.58,42,6.5,2,2,58
302,98,7.7,0,6.5,3,3,72
300,98,7.18,54,6.5,3,3,66.8
301,99,0.66,30,6.5,3,3,66
308,100,6.47,38,6.5,2,2,59.7
304,100,0.63,0,6.5,3,3,63
300,101,6.62,54,7,3,3,61.2
299,101,9.1,14,7,4,4,86
302,101,0.64,18,7,3,3,64
311,102,0.628,27,7,3,3,62.8
307,102,0.61,28,7,3,3,61
305,103,0.69,10,7,3,3,69
300,103,9,30,7,4,4,85
312,103,0.8,36,7,4,4,80
306,104,7.88,0,7,3,3,73.8
306,104,0.8022,20,7,4,4,80.22
305,104,7,6,7,3,3,65
309,104,7.3,30,7,3,3,68
317,105,6.76,12,7,3,3,62.6
321,108,0.5606,7,7,2,2,56.06
303,109,0.56,20,7.5,2,2,56
305,109,8,6,7.5,4,4,75
305,110,8.02,22,7.5,4,4,75.2
294,85,8.69,16,6,4,4,81.9
300,85,0.67,56,6,3,3,67
295,85,0.64,26,6,3,3,64
306,85,0.6414,31,6,3,3,64.14
310,85,7.7,2,6,3,3,72
303,85,6.3,6,6,2,2,58
292,90,6.52,13,6,3,3,60.2
294,90,6.6,0,6,3,3,61
303,91,7.7,1,6,3,3,72
299,91,0.6355,32,6,3,3,63.55
308,92,0.6333,60,6,3,3,63.33
310,92,5.5,0,6,2,2,50
291,93,0.67,27,6.5,3,3,67
295,93,0.54,41,6.5,2,2,54
309,93,7.3,0,6.5,3,3,68
300,93,0.694,82,6.5,3,3,69.4
294,93,0.54,35,6.5,2,2,54
306,94,0.729,12,6.5,3,3,72.9
305,95,0.6321,35,6.5,3,3,63.21
305,95,0.653,18,6.5,3,3,65.3
305,95,7.2,29,6.5,3,3,67
305,95,8.1,0,6.5,4,4,76
